id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
N;NORTE;2021-01-01 16:00:00;4608.47200000;2582.91900000;178.28400000;0E-8;5069.75300000;2299.92200000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 16:00:00;33433.13200000;12709.02700000;6751.73700000;1080.51000000;53974.41000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-01 16:00:00;22237.71699999;6579.94300000;0E-8;322.85800000;31429.56700000;-2289.04900000
S;SUL;2021-01-01 16:00:00;1678.37100000;1162.14200000;796.75000000;0E-8;8149.48700000;-4512.22400000
NE;NORDESTE;2021-01-01 17:00:00;5165.51200000;2377.34600000;6034.39399999;264.80600000;9565.45700000;4276.60100000
N;NORTE;2021-01-01 17:00:00;4864.61500000;2600.19999999;197.59000000;0E-8;5087.04499999;2575.35999999
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 17:00:00;34773.75200000;13425.63200000;7011.85800000;413.57900000;55624.82000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-01 17:00:00;22764.50199999;7287.46999999;0E-8;148.77300000;32311.66499999;-2110.91999999
S;SUL;2021-01-01 17:00:00;1979.12300000;1160.61600000;779.87400000;0E-8;8660.65400000;-4741.04100000
NE;NORDESTE;2021-01-01 18:00:00;5851.49400000;2378.51100000;6257.61499999;5.73900000;10760.15099999;3733.20800000
N;NORTE;2021-01-01 18:00:00;5264.55700000;2618.17600000;185.30200000;0E-8;5250.70099999;2817.33400000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 18:00:00;38419.40200000;13623.74400000;7207.21000000;20.48700000;59270.84000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-01 18:00:00;24714.83199999;7465.30100000;0E-8;14.74800000;34157.93500000;-1963.05400000
S;SUL;2021-01-01 18:00:00;2588.51899999;1161.75599999;764.29300000;0E-8;9102.05600000;-4587.48800000
NE;NORDESTE;2021-01-01 19:00:00;6436.85399999;2379.87100000;6935.83500000;0E-8;11263.18400000;4489.37600000
